slug,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,female_ratio,header_count,male_ratio,num_female,num_male,readability,stars,total_num_commits,total_num_contributors,compound,has_url,contrib,coc,readMeLength
orisano/graphemesplit,119,119,119,0.5,4,0.5,1,1,-127.84,0,30,2,0.0,False,0,0,2
ciffi/ciffi-js,120,120,120,0.0,2,0.75,0,3,-140.0,3,441,4,0.5165,True,0,0,6
InventivetalentDev/KeyPics-Client,121,121,121,1.0,1,0.0,2,0,-48.65,0,11,2,0.6402,True,0,0,8
bitbird-dev/Bitbird.Core.Ember.I18n,122,122,122,0.0,0,1.0,0,1,-53.04,0,26,1,0.0,False,0,0,5
braposo/figma-graphql,123,123,123,0.16666666666666666,3,0.5,1,3,-575.15,105,70,6,0.8221,True,0,0,10
rehooks/component-size,124,124,124,0.14285714285714285,3,0.8571428571428571,1,6,-59.82,52,16,7,0.836,False,0,0,7
Estimote/react-native-estimote-proximity,125,125,125,0.0,5,1.0,0,3,14.12,1,47,3,0.9638,False,0,0,42
commonform/commonform-number,126,126,126,0.0,0,1.0,0,2,-679.39,0,61,2,0.0,False,0,0,1
sha256/Pristine,127,127,127,0.5,6,0.5,1,1,-59.72,33,31,2,0.9689,True,0,0,24
djalmaoliveira/djf-nfe,128,128,128,1.0,6,0.0,1,0,-86.88,2,13,1,0.0,True,0,0,9
livepeer/livepeerjs,129,129,129,0.04,6,0.84,1,21,-410.0,30,489,25,0.9793,True,1,1,35
kodedninja/choo-resize,130,130,130,0.0,3,1.0,0,1,49.21,1,4,1,0.0772,False,0,0,6
braintree/inject-stylesheet,131,131,131,0.125,3,0.625,1,5,-47.29,6,28,8,0.6908,False,0,0,9
jsmrcaga/mttb,132,132,132,1.0,3,0.0,1,0,-16.5,0,15,1,0.9793,False,0,0,39
iwatech/typescript-service-generator,133,133,133,0.0,4,1.0,0,2,-145.75,3,59,2,0.9806,False,0,0,10
developit/linkref,134,134,134,0.0,0,1.0,0,1,-17.18,53,9,1,0.9689,True,0,0,10
devspace-cloud/devspace,135,135,135,0.0,7,0.5,0,10,-21.42,0,1575,20,0.9728,True,1,1,37
FashionTrade/create-ft-react-app,136,136,136,0.0397456279809221,11,0.7678855325914149,25,483,-52.47,0,2149,629,0.9982,True,1,1,57
hopplajs/hoppla,137,137,137,1.0,8,0.0,1,0,-33.97,1,50,1,0.9726,False,0,0,48
evocateur/npm-registry-fetch,138,138,138,0.6666666666666666,2,0.3333333333333333,2,1,4.82,0,75,3,0.9965,False,1,1,124
caub/pg-tsquery,139,139,139,0.0,0,1.0,0,1,-125.12,7,53,1,-0.7111,True,0,0,5
wzrdtales/seneca-mesh-ng,140,140,140,0.25,12,0.625,2,5,21.87,0,135,8,0.9947,False,0,0,115
SADAVA/WebSockets,141,141,141,1.0,4,0.0,2,0,-6.87,0,5,2,-0.5267,False,0,0,4
contentascode/metalsmith-markdown-taxonomy,142,142,142,0.0,5,1.0,0,1,-119.71,0,10,1,0.4738,False,0,0,6
ibi-group/isotropic-property-chainer,143,143,143,0.0,0,1.0,0,1,-63.21,0,51,1,0.0,False,1,0,5
nanw1103/rest-bridge,144,144,144,1.0,2,0.0,1,0,-34.28,5,68,1,0.973,False,0,0,28
iotile/ts-iotile-cloud,145,145,145,0.3333333333333333,0,0.6666666666666666,1,2,68.77,0,60,3,0.0,False,0,0,1
posva/vue-promised,146,146,146,0.0,6,0.7777777777777778,0,7,-79.96,131,127,9,0.9926,True,0,0,29
Azure/ms-rest-js,147,147,147,0.07142857142857142,4,0.9285714285714286,1,13,13.51,8,568,14,0.8805,False,0,0,14
Salesflare/planer,148,148,148,0.4,0,0.4,2,2,-3.27,0,37,5,0.6789,False,0,0,16
indrasantosa/node-s3-public-url,149,149,149,0.5,0,0.0,1,0,-8.05,1,11,2,0.0,False,0,0,2
thekevinscott/pixelated-canvas,150,150,150,0.0,4,1.0,0,1,-71.32,0,21,1,0.5983,False,0,0,4
gluons/material-design-icon-chars,151,151,151,0.5,4,0.16666666666666666,3,1,-273.34,0,72,6,0.8372,True,0,0,12
OpusCapita/oc-cm-navigation-header,152,152,152,0.6666666666666666,0,0.3333333333333333,6,3,-349.49,0,78,9,0.9136,False,0,0,15
bili/palid,153,153,153,0.5,0,0.0,2,0,-87.91,0,48,4,0.3612,False,0,0,8
brucou/nerv-hyperscript,154,154,154,0.125,2,0.75,1,6,-56.27,0,69,8,0.7424,False,0,0,12
kolbis/create-react-app,155,155,155,0.040625,11,0.765625,26,490,-52.47,0,2125,640,0.9982,True,1,1,57
yurencloud/yu.calculator,156,156,156,0.0,2,1.0,0,2,-24.97,0,5,2,0.0,False,0,0,1
nearform/node-clinic-common,157,157,157,0.1111111111111111,4,0.6666666666666666,1,6,-34.06,0,103,9,0.9245,False,0,0,14
javascript-obfuscator/webpack-obfuscator,158,158,158,0.125,0,0.625,1,5,-56.77,98,158,8,-0.8041,True,0,0,14
Physer/Valtech-Testing-Framework,159,159,159,0.0,3,1.0,0,2,-4.83,0,20,2,0.802,False,0,0,10
ggolikov/Leaflet.River,160,160,160,0.0,5,1.0,0,3,-90.58,7,82,3,0.7258,True,0,0,19
Sighmir/Crispy,161,161,161,0.0,7,1.0,0,2,-113.87,1,115,2,0.6427,False,0,0,123
cumberlandgroup/node-red-contrib-spark,162,162,162,0.0,4,1.0,0,2,1.84,1,54,2,0.9815,True,0,0,55
tsamaya/opencage-api-client,163,163,163,0.0,7,1.0,0,3,-119.41,0,58,3,0.9142,True,0,0,18
abtris/sinopia-htaccess-gpg-email,164,164,164,0.0,2,0.5,0,1,-117.35,0,75,2,0.3987,False,0,0,4
bripkens/event-loop-stats,165,165,165,0.0,4,0.6666666666666666,0,2,-30.72,10,13,3,0.3595,False,0,0,7
vilsbole/create-react-app,166,166,166,0.04031007751937984,11,0.7658914728682171,26,494,-52.47,0,2133,645,0.9982,True,1,1,57
singnet/token-contracts,167,167,167,0.09090909090909093,6,0.8181818181818182,1,9,-113.28,3,122,11,0.5707,False,0,0,2
sanctuary-js/sanctuary-descending,168,168,168,0.0,0,1.0,0,1,-399.85,1,34,1,0.9001,False,1,0,61
satya164/react-native-tabview,169,169,169,0.08333333333333333,10,0.7666666666666667,5,46,-52.75,0,551,60,0.9851,False,0,0,113
